,regist_date,fuel_type,region,region_regist,whole_region_car_regist
165,2022.11,하이브리드(CNG+전기),강원,0.0,12043530.0
166,2022.11,하이브리드(LNG+전기),강원,0.0,12043530.0
167,2022.11,수소,강원,2485.0,12043530.0
168,2022.11,기타연료,강원,4628.0,12043530.0
169,2022.11,총계,강원,849987.0,12043530.0
170,2022.11,휘발유,충북,410120.0,12043530.0
171,2022.11,경유,충북,378935.0,12043530.0
172,2022.11,엘피지,충북,70546.0,12043530.0
173,2022.11,등유,충북,0.0,12043530.0
174,2022.11,전기,충북,14933.0,12043530.0
175,2022.11,알코올,충북,0.0,12043530.0
176,2022.11,태양열,충북,0.0,12043530.0
177,2022.11,CNG,충북,642.0,12043530.0
178,2022.11,LNG,충북,0.0,12043530.0
179,2022.11,하이브리드(휘발유+전기),충북,29634.0,12043530.0
180,2022.11,하이브리드(경유+전기),충북,701.0,12043530.0
181,2022.11,하이브리드(LPG+전기),충북,615.0,12043530.0
182,2022.11,하이브리드(CNG+전기),충북,2.0,12043530.0
183,2022.11,하이브리드(LNG+전기),충북,0.0,12043530.0
184,2022.11,수소,충북,1713.0,12043530.0
185,2022.11,기타연료,충북,7186.0,12043530.0
186,2022.11,총계,충북,915027.0,12043530.0
187,2022.11,휘발유,충남,536114.0,12043530.0
188,2022.11,경유,충남,515623.0,12043530.0
189,2022.11,엘피지,충남,89889.0,12043530.0
190,2022.11,등유,충남,0.0,12043530.0
191,2022.11,전기,충남,16467.0,12043530.0
192,2022.11,알코올,충남,0.0,12043530.0
193,2022.11,태양열,충남,0.0,12043530.0
194,2022.11,CNG,충남,522.0,12043530.0
195,2022.11,LNG,충남,2.0,12043530.0
196,2022.11,하이브리드(휘발유+전기),충남,37644.0,12043530.0
197,2022.11,하이브리드(경유+전기),충남,675.0,12043530.0
198,2022.11,하이브리드(LPG+전기),충남,722.0,12043530.0
199,2022.11,하이브리드(CNG+전기),충남,0.0,12043530.0
200,2022.11,하이브리드(LNG+전기),충남,0.0,12043530.0
201,2022.11,수소,충남,1245.0,12043530.0
202,2022.11,기타연료,충남,10057.0,12043530.0
203,2022.11,총계,충남,1208960.0,12043530.0
204,2022.11,휘발유,전북,402481.0,12043530.0
205,2022.11,경유,전북,428970.0,12043530.0
206,2022.11,엘피지,전북,93459.0,12043530.0
207,2022.11,등유,전북,0.0,12043530.0
208,2022.11,전기,전북,12622.0,12043530.0
209,2022.11,알코올,전북,0.0,12043530.0
210,2022.11,태양열,전북,0.0,12043530.0
211,2022.11,CNG,전북,872.0,12043530.0
212,2022.11,LNG,전북,1.0,12043530.0
213,2022.11,하이브리드(휘발유+전기),전북,28964.0,12043530.0
214,2022.11,하이브리드(경유+전기),전북,861.0,12043530.0
215,2022.11,하이브리드(LPG+전기),전북,758.0,12043530.0
216,2022.11,하이브리드(CNG+전기),전북,6.0,12043530.0
217,2022.11,하이브리드(LNG+전기),전북,0.0,12043530.0
218,2022.11,수소,전북,1854.0,12043530.0
219,2022.11,기타연료,전북,5470.0,12043530.0
220,2022.11,총계,전북,976318.0,12043530.0
221,2022.11,휘발유,전남,494630.0,12043530.0
222,2022.11,경유,전남,551999.0,12043530.0
223,2022.11,엘피지,전남,113412.0,12043530.0
224,2022.11,등유,전남,0.0,12043530.0
225,2022.11,전기,전남,14981.0,12043530.0
226,2022.11,알코올,전남,0.0,12043530.0
227,2022.11,태양열,전남,0.0,12043530.0
228,2022.11,CNG,전남,911.0,12043530.0
229,2022.11,LNG,전남,4.0,12043530.0
230,2022.11,하이브리드(휘발유+전기),전남,47390.0,12043530.0
231,2022.11,하이브리드(경유+전기),전남,632.0,12043530.0
232,2022.11,하이브리드(LPG+전기),전남,776.0,12043530.0
233,2022.11,하이브리드(CNG+전기),전남,0.0,12043530.0
234,2022.11,하이브리드(LNG+전기),전남,0.0,12043530.0
235,2022.11,수소,전남,747.0,12043530.0
236,2022.11,기타연료,전남,9983.0,12043530.0
237,2022.11,총계,전남,1235465.0,12043530.0
238,2022.11,휘발유,경북,660730.0,12043530.0
239,2022.11,경유,경북,657476.0,12043530.0
240,2022.11,엘피지,경북,128220.0,12043530.0
241,2022.11,등유,경북,0.0,12043530.0
242,2022.11,전기,경북,18864.0,12043530.0
243,2022.11,알코올,경북,0.0,12043530.0
244,2022.11,태양열,경북,0.0,12043530.0
245,2022.11,CNG,경북,1006.0,12043530.0
246,2022.11,LNG,경북,6.0,12043530.0
247,2022.11,하이브리드(휘발유+전기),경북,42117.0,12043530.0
248,2022.11,하이브리드(경유+전기),경북,549.0,12043530.0
249,2022.11,하이브리드(LPG+전기),경북,947.0,12043530.0
250,2022.11,하이브리드(CNG+전기),경북,31.0,12043530.0
251,2022.11,하이브리드(LNG+전기),경북,0.0,12043530.0
252,2022.11,수소,경북,248.0,12043530.0
253,2022.11,기타연료,경북,11320.0,12043530.0
254,2022.11,총계,경북,1521514.0,12043530.0
255,2022.11,휘발유,경남,906299.0,12043530.0
256,2022.11,경유,경남,733704.0,12043530.0
257,2022.11,엘피지,경남,139989.0,12043530.0
258,2022.11,등유,경남,1.0,12043530.0
259,2022.11,전기,경남,22081.0,12043530.0
260,2022.11,알코올,경남,0.0,12043530.0
261,2022.11,태양열,경남,0.0,12043530.0
262,2022.11,CNG,경남,1339.0,12043530.0
263,2022.11,LNG,경남,1.0,12043530.0
264,2022.11,하이브리드(휘발유+전기),경남,68484.0,12043530.0
265,2022.11,하이브리드(경유+전기),경남,2759.0,12043530.0
266,2022.11,하이브리드(LPG+전기),경남,998.0,12043530.0
